704893 333.882541667 -17.7351666667 i 52795.5802196
704894 333.886333333 -17.7371111111 i 52795.5871805
704895 333.886333333 -17.7371111111 i 52795.5894142
704896 333.888375 -17.7332222222 i 52795.5960833
704897 333.884583333 -17.7315833333 i 52795.6028804
705197 333.881375 -17.7351944444 i 52796.5804880
705198 333.882833333 -17.7393611111 i 52796.5881305
705199 333.88575 -17.7365833333 i 52796.5955167
705308 333.882541667 -17.7346666667 r 52797.5826911
705309 333.879583333 -17.7355277778 r 52797.5878048
